sentences,advice,symptoms
聽日就要考試了，好驚呢次考試嘅題目會唔會好難,好驚呢次考試嘅題目會唔會好難嘅原因係？,T5
係咩？但係我控制唔到我自己害怕,控制自己嘅情緒係唔容易，不過可以同我講多啲你害怕嘅內容嗎？,T9
"好多地方想去,好多嘢想食, 但次次都搵唔到人陪.",我明白你嘅感受，你可以試下同屋企人多啲聯繫，相信佢地都會陪你。,L3
之前識過啲friend，但都係功課上問我，傾多啲私人嘢都唔肯,唔好咁灰心，真正嘅朋友會分擔你嘅憂愁，互相扶持。只要你係真心對人嘅話，別人係看得見㗎。,L6
"就算有好多人係你身邊, 都好似無connection咁 反而覺得自己好孤獨 ","明白這感受會令人不開心.唔好咁灰心住,你可以試下繼續結識朋友,終 有一日您會找到connect到的人，同人溝通有困難嘅時候唔好忘記幫自己打氣呀。",L5
有時拍拖心很累嘅地方係，另一半嘅唔理解…,拍拖的確可以造成壓力。點解覺得另一半唔了解你呢？,L4
出左黎做野之後好難先融入到一個圈子，同好多同事都唔算好熟,覺得同好多同事都唔算熟，而且好難融入職場嘅圈子，可以同我講多啲嗎？,L6
我係個外人，無論做咩都錯，我覺得好似冇人明我咁…,明白這感受會令人不開心..你可以搵學校嘅counsellor傾下㗎..敞開自己 唔好收埋負面情緒,L4
有時無人聊你傾 又唔知對住人講咩好果種感覺好尷尬:-(  其實覺得摺返屋企係舒服d 但又覺得自己好怪,我知道你可能未必識得同其他人相處而感到尷尬，更加覺得自己奇怪，你可以搵學校counsellor傾下㗎！,L5
就快考試啦，但是見到自己什麼都要未溫習，我很大壓力,視乎你嘅目標 分配好時間 訂立啲階段目標去努力逐步達成 或者試下form study group同同學仔一齊溫重點 咁就會無咁辛苦架啦 做好啲搶分題 咁就冇咁擔心架啦,T5
"樣樣都試過一個人做,差在未試過一個人唱k..",一個人都可以過得好開心㗎。你可以學習感恩，人都開心啲！,L1
考試的時候，題目不懂，我感到緊張,你會怎樣放鬆自己,T9
